epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1241.55,0.56283,0.35726,0.94915,0.99667,0.97146,0.98384,0.84857,0.63065,0.32732,0.92368,0.000462281,0.000462281,0.000462281
43,1270.68,0.55455,0.3584,0.94591,0.99709,0.971,0.98452,0.83953,0.65815,0.33214,0.9407,0.000438703,0.000438703,0.000438703
44,1299.37,0.55971,0.36979,0.93204,0.99212,0.97813,0.99442,0.83868,0.67205,0.33679,0.95046,0.000415124,0.000415124,0.000415124
45,1329.65,0.56676,0.37135,0.94824,0.97933,0.98364,0.98021,0.83154,0.65787,0.3519,0.94017,0.000391546,0.000391546,0.000391546
46,1359.6,0.54315,0.34171,0.93178,0.99504,0.98137,0.98804,0.83095,0.65466,0.33496,0.92831,0.000367967,0.000367967,0.000367967
47,1390.32,0.55185,0.35279,0.93912,0.981,0.96181,0.99041,0.83385,0.68724,0.35247,0.93677,0.000344389,0.000344389,0.000344389
48,1421.47,0.54879,0.34736,0.93663,0.99602,0.98366,0.98533,0.83672,0.67908,0.31265,0.94893,0.00032081,0.00032081,0.00032081
49,1451.27,0.5138,0.3314,0.92212,0.99568,0.98485,0.99442,0.83063,0.69219,0.31755,0.95597,0.000297232,0.000297232,0.000297232
50,1478.74,0.52378,0.33622,0.93533,0.98148,0.96903,0.98325,0.82784,0.68518,0.33059,0.95433,0.000273654,0.000273654,0.000273654
51,1518.8,0.43662,0.27528,0.85896,0.98892,0.9608,0.984,0.83039,0.66395,0.32966,0.948,0.000250075,0.000250075,0.000250075
52,1546.37,0.44804,0.27976,0.87189,0.99318,0.9608,0.97495,0.83974,0.66617,0.31351,0.95707,0.000226497,0.000226497,0.000226497
53,1574.85,0.44106,0.26632,0.85168,0.99441,0.98317,0.99442,0.84112,0.65553,0.30975,0.95703,0.000202918,0.000202918,0.000202918
54,1603.9,0.42915,0.26131,0.85654,0.99592,0.98313,0.99442,0.85056,0.65076,0.29909,0.9487,0.00017934,0.00017934,0.00017934
55,1633.56,0.42748,0.26592,0.86469,0.99614,0.98275,0.99442,0.85163,0.66142,0.3015,0.95866,0.000155761,0.000155761,0.000155761
56,1659.19,0.42105,0.24447,0.85118,0.99291,0.98611,0.995,0.85173,0.64934,0.29103,0.94884,0.000132183,0.000132183,0.000132183
57,1689.59,0.40727,0.24694,0.83306,0.99275,0.986,0.995,0.85608,0.6468,0.28703,0.9526,0.000108604,0.000108604,0.000108604
58,1712.72,0.40339,0.24384,0.84501,0.99459,0.98284,0.99442,0.85774,0.64584,0.28569,0.95515,8.50255e-05,8.50255e-05,8.50255e-05
59,1736.75,0.39718,0.23454,0.83891,0.99451,0.98228,0.99442,0.85835,0.64774,0.28498,0.94862,6.1447e-05,6.1447e-05,6.1447e-05
60,1763.99,0.40224,0.23379,0.849,0.99513,0.9825,0.99442,0.86048,0.64219,0.28342,0.94034,3.78685e-05,3.78685e-05,3.78685e-05
